Loyalty#,Province or State,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,IsActive,Tenure,TotalFlights,TotalFlightsWithCompanions,TotalPointsAccumulated,TotalPointsRedeemed,RedeemRatio,Flights_January,Flights_February,Flights_March,Flights_April,Flights_May,Flights_June,Flights_July,Flights_August,Flights_September,Flights_October,Flights_November,Flights_December,Flights_2019,Flights_2020,Flights_2021
123928,Quebec,male,Bachelor,Rural,28264.0,Divorced,Star,2021-12-30,,4624.56,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857845,Newfoundland,male,College,Suburban,40632.8,Single,Nova,2021-12-30,,3945.59,Standard,True,0.0,196,29,39169.57,0.0,0.0,15,9,21,3,5,38,3,18,22,15,3,44,49,59,88
948961,Ontario,male,Bachelor,Urban,94303.0,Married,Nova,2021-12-30,,7908.45,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647393,Quebec,male,College,Rural,46336.2,Married,Nova,2021-12-30,,8356.18,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170982,Quebec,male,High School or Below,Rural,14072.0,Divorced,Nova,2021-12-30,,24127.5,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253412,Quebec,female,Bachelor,Urban,79751.0,Married,Star,2021-12-30,,2551.23,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881871,Ontario,female,Bachelor,Rural,73938.0,Married,Star,2021-12-30,,3086.01,Standard,True,0.0,135,14,41612.83,9288.3,0.22320760207849355,6,11,1,18,40,17,5,9,4,7,10,7,35,43,57
460711,Quebec,female,College,Urban,27556.8,Single,Aurora,2021-12-29,,5098.85,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408170,Quebec,female,High School or Below,Suburban,29790.0,Married,Aurora,2021-12-29,,14503.02,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654983,Manitoba,male,Bachelor,Urban,29385.0,Single,Nova,2021-12-29,,3303.09,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
